rule_name,rule_label,fill_mode,horizon_days,signal_idx,entry_idx,exit_idx,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,mfe_pct,max_drawdown_pct,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,day_close_in_range,day_return,m5_low_pos_ratio,m5_volume_ratio_after_low,pre_close_vs_ma5
stat_core,统计核心规则,next_open,5,227,228,232,20260403,20260407,4.455,20260413,4.656,0.045118,-0.005387,0.046914,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_core,统计核心规则,next_open,10,227,228,237,20260403,20260407,4.455,20260420,4.771,0.070932,-0.005387,0.072278,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_balanced,统计平衡规则,research_midpoint,3,19,19,21,20250527,20250527,3.7315,20250529,3.7615,0.00804,-0.001206,0.009782,-0.010616,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,research_midpoint,5,19,19,23,20250527,20250527,3.7315,20250603,3.7535,0.005896,-0.002814,0.009782,-0.012473,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,research_midpoint,10,19,19,28,20250527,20250527,3.7315,20250610,3.7775,0.012327,-0.002814,0.018089,-0.013688,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,research_midpoint,20,19,19,38,20250527,20250527,3.7315,20250624,3.82,0.023717,-0.002814,0.025593,-0.019407,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,next_open,3,19,20,22,20250527,20250528,3.736,20250530,3.7505,0.003881,-0.004015,0.008565,-0.012473,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,next_open,5,19,20,24,20250527,20250528,3.736,20250604,3.7685,0.008699,-0.004015,0.010171,-0.012473,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,next_open,10,19,20,29,20250527,20250528,3.736,20250611,3.803,0.017934,-0.004015,0.02061,-0.013688,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,next_open,20,19,20,39,20250527,20250528,3.736,20250625,3.879,0.038276,-0.004015,0.038544,-0.019407,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,research_midpoint,3,66,66,68,20250801,20250801,4.0025,20250805,4.061,0.014616,-0.002124,0.014866,-0.011141,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,research_midpoint,5,66,66,70,20250801,20250801,4.0025,20250807,4.0785,0.018988,-0.002124,0.021112,-0.011141,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,research_midpoint,10,66,66,75,20250801,20250801,4.0025,20250814,4.1565,0.038476,-0.002124,0.044347,-0.013158,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,research_midpoint,20,66,66,85,20250801,20250801,4.0025,20250828,4.437,0.108557,-0.002124,0.114803,-0.029807,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,next_open,3,66,67,69,20250801,20250804,3.999,20250806,4.0735,0.01863,-0.00125,0.019255,-0.009179,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,next_open,5,66,67,71,20250801,20250804,3.999,20250808,4.069,0.017504,-0.00125,0.022006,-0.009542,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,next_open,10,66,67,76,20250801,20250804,3.999,20250815,4.1755,0.044136,-0.00125,0.045261,-0.015072,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,next_open,20,66,67,86,20250801,20250804,3.999,20250829,4.484,0.12128,-0.00125,0.122781,-0.029807,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,research_midpoint,3,90,90,92,20250904,20250904,4.313,20250908,4.441,0.029678,-0.004637,0.031764,-0.031363,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,research_midpoint,5,90,90,94,20250904,20250904,4.313,20250910,4.427,0.026432,-0.004637,0.031764,-0.031363,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,research_midpoint,10,90,90,99,20250904,20250904,4.313,20250917,4.533,0.051009,-0.004637,0.052863,-0.031945,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,research_midpoint,20,90,90,109,20250904,20250904,4.313,20251009,4.703,0.090424,-0.004637,0.092743,-0.031945,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,next_open,3,90,91,93,20250904,20250905,4.327,20250909,4.423,0.022186,-0.001849,0.028426,-0.027252,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,next_open,5,90,91,95,20250904,20250905,4.327,20250911,4.538,0.048764,-0.001849,0.048995,-0.031945,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,next_open,10,90,91,100,20250904,20250905,4.327,20250918,4.512,0.042755,-0.001849,0.05223,-0.031945,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,next_open,20,90,91,110,20250904,20250905,4.327,20251010,4.6335,0.070834,-0.001849,0.089207,-0.031945,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,research_midpoint,3,112,112,114,20251014,20251014,4.5095,20251016,4.611,0.022508,-0.002772,0.025391,-0.025991,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,research_midpoint,5,112,112,116,20251014,20251014,4.5095,20251020,4.536,0.005876,-0.004546,0.025391,-0.029196,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,research_midpoint,10,112,112,121,20251014,20251014,4.5095,20251027,4.7055,0.043464,-0.004546,0.044018,-0.029196,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,research_midpoint,20,112,112,131,20251014,20251014,4.5095,20251110,4.686,0.03914,-0.004546,0.053554,-0.043359,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,next_open,3,112,113,115,20251014,20251015,4.525,20251017,4.551,0.005746,-0.007956,0.021878,-0.029196,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,next_open,5,112,113,117,20251014,20251015,4.525,20251021,4.5935,0.015138,-0.007956,0.021878,-0.029196,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,next_open,10,112,113,122,20251014,20251015,4.525,20251028,4.703,0.039337,-0.007956,0.044641,-0.029196,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,next_open,20,112,113,132,20251014,20251015,4.525,20251111,4.6705,0.032155,-0.007956,0.049945,-0.043359,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,research_midpoint,3,137,137,139,20251118,20251118,4.5505,20251120,4.5795,0.006373,-0.002088,0.012196,-0.012158,-0.028292,,,0.358491,-0.005886,0.893617,1.323224,-0.010399
